"ANIO","ITEM","NOMBRE VIAS","SARDINEL (ml)","BERMA EN ADOQUIN (m2)","BERMA (m2)","VEREDA EN ADOQUIN (m2)","RAMPAS (und)","CONCRETO VEREDA (m2)","CONCRETO PISTA (m2)","PISTA EN ADOQUIN (m2)","ASFALTADO (m2)","OBSERVACIONES"
"2011","1","Calle Manuel Tovar cdra. 1 a la 4","","","","","28.00","120.89","580.00","","1,911.00",""
"2011","2","Calle Ignacio Merino cdra.6","","","","","","","493.82","","774.20",""
"2011","3","Calle Jorge Chavez cdra. 1 a la 2","281.80","","127.27","","","22.25","135.00","","2,420.00",""
"2011","4","Av. Roca y Boloña cdra. 1 a la 12","662.21","","231.00","","","48.30","1,934.81","","18,680.00",""
"2011","*","PARQUE LETONIA","","","","308.00","","175.00","","","",""
"2011","**","Vías Parciales del Distrito 2011","2,596.09","","2,407.85","824.29","80.00","6,385.59","4,260.68","","27,766.64",""
"2012","5","Av. Casimiro Ulloa cdras 1 a 4","188.50","","302.70","","155.00","112.10","","","5,872.00",""
"2012","6","Av. De la Aviación cdras 1 a 5","33.00","","","","","104.00","1,104.75","","4,852.92",""
"2012","7","Av. Grau cdras 1 a 8","","","","","","7.80","12.00","","7,903.73",""
"2012","8","Av. Mariscal José La Mar cdras 1 a 13","0.70","","","","","","","","15,249.80",""
"2012","9","Calle 8 de Octubre cdras 1 a 3","18.50","","6.75","","","84.60","275.28","","2,730.50",""
"2012","10","Calle Bartolomé Herrera cdras 1 a 2","","","","","","","227.00","","1,414.26",""
"2012","11","Calle Bernardo Alcedo cdras 1 a 3","","","","","","40.35","340.70","","1,552.81",""
"2012","12","Calle Bolognesi cdras 1 a 8","","","","","","","","","9,453.66",""
"2012","13","Calle Chiclayo cdras 8 a 10","","","62.50","","","21.50","286.66","","1,558.32",""
"2012","14","Calle Comandante Juan Moore cdras 1 a 3","","","","","","","9.60","","2,202.29",""
"2012","15","Calle Eduardo de Habich cdras 1 y 2","","","","","","","53.30","","979.98",""
"2012","16","Calle Francia cdras 3 a 9","","","","","","","","","6,231.48",""
"2012","17","Calle General Iglesias cdras 1 a 7","16.22","","","","","86.60","6.00","","4,456.37",""
"2012","18","Calle Gonzales Vigil cdra 1","","","","","","","241.05","","504.73",""
"2012","19","Calle Italia cdras 1 a 4","198.80","","357.20","","","","","","2,925.15",""
"2012","20","Calle Lino Alarco cdras 1 y 2","10.00","","4.00","","","1.05","120.05","","963.33",""
"2012","21","Calle Madrid cdras 1 a 5","","","","","","","","","4,309.71",""
"2012","22","Calle Manuel Segura cdras 1 a 2","","","","","","1.50","","","1,013.13",""
"2012","23","Calle Marquez Torre Tagle cdras | y 2","382.50","","82.60","","","137.62","212.31","","2,025.28",""
"2012","24","Calle Martín Napanga cdras 1 a 3","","","","","","1.32","419.78","","1,513.13",""
"2012","25","Calle Piura cdras 9 a 12","","","","","","4.00","668.70","","3,646.32",""
"2012","26","Calle Rosario cdras 1 y 2","","","14.05","","","","38.30","","1,814.04",""
"2012","27","Calle Santiago Figueredo cdras 1 a 2","","","14.50","","","15.60","168.00","","741.30",""
"2012","28","Calle Toribio Pacheco cdras 1 a 5","13.50","","3.40","","","16.13","879.63","","2,506.34",""
"2012","29","Calle Toribio Polo cdras 1 a 5","115.00","","4.50","","","53.68","","","3,310.01",""
"2012","30","Calle Túpac Amaru cdra 2","","","","","","","","","262.50",""
"2012","**","Vías Parciales del Distrito 2012","2,632.66","","2,934.45","","","5,702.40","5,676.49","","112,671.51",""
"2013","31","Calle García Calderón cdras. 2 y 3","","","","","830.00","8.00","","","1,763.88",""
"2013","32","Calle Independencia cdras. 6 a 12","31.00","","31.50","","","31.50","349.94","","6,253.73",""
"2013","33","Calle Teruel cdras. 1 a 3","","","115.40","","","","","","1,104.60",""
"2013","34","Calle Santander cdras 1 a 2","40.80","","4.44","","","93.07","","","558.00",""
"2013","35","Calle Ramón Zavala cdras. 1 a 4","112.50","","49.00","","","178.12","184.50","","2,321.30",""
"2013","36","Calle Roma cdras. 1 a 5","36.00","","176.43","","","156.87","","","2,566.64",""
"2013","37","Calle Tarapacá cdras. 1 a 4","29.50","","139.34","","","138.87","117.30","","3,263.25",""
"2013","38","Calle Ayacucho cdras. 1 a 3","","","","","","","313.60","","2,543.17",""
"2013","39","Calle Trípoli cdras. 1 a 3","7.10","","772.16","","","12.50","137.30","","2,379.24",""
"2013","40","Calle Venecia cdras. 1 y 2","16.50","","220.05","","","63.00","","","751.44",""
"2013","41","Calle María Parado de Bellido cdras. 1 y 2","","","","","","","239.90","","1,307.94",""
"2013","42","Calle Asunción cdra.1","144.00","","63.18","","","29.92","","","576.60",""
"2013","43","Calle Elías Aguirre cdra.6","29.90","","7.00","","","50.00","16.00","","536.07",""
"2013","44","Calle Larco Herrera cdras. 1 y 2","54.80","","","","","97.13","","","1,818.05",""
"2013","45","Calle Daniel A. carrión cdras. 1 y 2","37.00","","7.20","","","13.20","415.88","","1,374.00",""
"2013","46","Calle Enrique Meiggs cdras. 1 y 2","62.00","","97.75","","","18.59","88.00","","1,362.00",""
"2013","47","Av. Reducto cdras. 8 a 10 (lado par)","2.00","","","","","93.63","8.39","","3,580.97",""
"2013","48","Calle Francisco Retes cdras.1","41.50","","","","","","30.00","","644.00",""
"2013","49","Calle General Silva cdras. 5 a 8","22.00","","22.00","","","30.79","376.06","","1,753.20",""
"2013","50","Av. José Pardo cdras. 1 a 14","","","","","","74.94","","","11,078.90",""
"2013","51","Av. 28 de Julio cdras. 1 a 14","36.20","","85.44","","","131.83","","","6,981.32",""
"2013","**","Vías Parciales del Distrito 2013","1,369.73","","2,732.51","1,288.64","","5,560.02","1,033.59","","13,060.13",""
"2014","52","Calle Francisco de Paula Ugarriza cuadra 1 a 3 y 8","39.50","","8.28","","339.00","11.80","","","1,767.79",""
"2014","53","Av. Vasco Nuñez de Balboa cdras. 1 a 7","77.00","","69.00","13.00","","9.00","","","6,063.48",""
"2014","54","Calle Irribarren cdras. 2 y 3","","","","","","","","","1,364.37",""
"2014","55","Av. Federico Villarreal cdras. 1 (lado par),2,3 y4","204.28","","134.72","9.70","","30.54","323.65","","2,999.20",""
"2014","56","Ca. Los Ángeles cdras. 1 a 3","168.40","","199.70","","","","184.60","","1,681.26",""
"2014","57","Av. José Pardo cdra.15","27.20","","93.55","","","11.20","","","915.47",""
"2014","58","Av. Jorge Chávez cdras. 3 a 7","68.00","","39.90","","","15.50","21.00","","4,488.50",""
"2014","59","Ca. Santa Isabel cdras. 2 y 3","","","17.60","","","34.00","18.30","","1,483.83",""
"2014","60","Ca. José de la Torre Ugarte cdras. 1 a 4","79.50","","","2.16","","70.50","","","2,429.36",""
"2014","61","Ca. JoaquínCapello cdras. 1 a 5","54.10","","","","","51.39","11.90","","2,477.02",""
"2014","62","Ca. Gral. Borgoño cdras. 10 y 11","3.20","","30.00","","","61.00","42.16","","2,173.63",""
"2014","63","Ca. Cavenecia cdra. 1 (impar)","","","","","","","","","626.30",""
"2014","64","Av. Santa María cdras. 1 y 2","34.00","","33.60","12.00","","92.00","11.50","","1,643.96",""
"2014","65","Av. Comandante Espinar","1.20","","","","","","","","10,900.95",""
"2014","66","Av. Armendáriz","0.60","","","","","","","","2,883.97","Accesos a Barranco"
"2014","67","Av. Reducto","10.50","","44.00","","","2.40","9.00","","3,211.63","Accesos a Barranco"
"2014","*","PARQUE MELVIN JONES I","209.40","","12.60","196.00","","253.09","","","-","Accesos a Barranco"
"2014","**","Vías Parciales del Distrito 2014","3,986.00","","4,412.23","1,461.78","","3,502.01","743.03","","8,238.64","Accesos a Barranco"
