idvia|nombre|idtipovia
1|-|110
2|7 de Junio|110
3|8 de Octubre|110
4|Alcocer|110
5|Alejandro Deustua|110
6|Alfredo Leon|110
7|Aljovin|110
8|Almirante Lord Nelson|110
9|Angulo|110
10|Aparicio Gemoz Sanchez|110
11|Arias R|110
12|Arias Roblrs|110
13|Arias Schreiber|110
14|Augusto Angulo|110
15|Aurelio Fernandez Concha|110
16|Avenida 15 de Enero|110
17|Avenida  28 de Julio|108
18|Avenida 28 de Julio|108
19|Avenida Alfredo Benavides|108
20|Avenida Angamos Oeste|108
21|Avenida Aramburú|108
22|Avenida Arequipa|108
23|Avenida Armendariz|108
24|Avenida Comandante Espinar|108
25|Avenida de Roosevelt|108
26|Avenida de Tomás Marsano|110
27|Avenida Ernesto DIez Canseco|110
28|Avenida Federico Villareal|110
29|Avenida General Córdova|110
30|Avenida Hipólito Unanue|109
31|Avenida Jorge Chávez|110
32|Avenida Jorge Vanderghen|110
33|Avenida José Antonio Encinas|110
34|Avenida José Larco|108
35|Avenida José Pardo|110
36|Avenida José Ramírez Gastón|108
37|Avenida La Merced|108
38|Avenida La Paz|110
39|Avenida Manuel Villaran|108
40|Avenida Mariscal La Mar|110
41|Avenida Mariscal Sucre|110
42|Avenida Mendiburu|110
43|Avenida Miguel Grau|110
44|Avenida Paseo de la República|107
45|Avenida Perez Araníbar|108
46|Avenida Petit Thouars|108
47|Avenida Reducto|108
48|Avenida Ricardo Palma|108
49|Avenida Santa Cruz|108
50|Avenida Tejada|110
51|Avenida Vasco Nuñez de Balboa|110
52|Bajada Balta|108
53|Banda y Rivero|110
54|Bardelli|110
55|Barreto|110
56|Bartolomé Trujillo|110
57|B de las Casas|110
58|Bellido|110
59|Bendezu|110
60|Berlin|110
61|Brent|110
62|Bruno Moll|110
63|Caballero Otero|110
64|Caceres|108
65|Cahuide|110
66|Calero|110
67|Calle 25 de Mayo|110
68|Calle 27 de Noviembre|110
69|calle 2 de Mayo|110
70|Calle 2 de Mayo|110
71|calle Acacias|110
72|Calle Acacias|110
73|Calle Alcanfores|110
74|Calle Alfredo Leon|110
75|Calle Alfredo Salazar|110
76|calle Almirante Lord Cochrane|110
77|calle Almirante Lord Nelson|110
78|calle Andalucia|110
79|Calle Arias Araguez|110
80|calle Atahualpa|110
81|calle Bellavista|110
82|Calle Berlin|110
83|Calle Berlín|110
84|calle Bolívar|110
85|calle Bolognesi|110
86|calle Buenos Aires|110
87|calle Cantuarias|110
88|calle Capitán José Quiñones|110
89|calle Cesareo Chalcatana|110
90|Calle Chamberi|110
91|calle Chiclayo|110
92|Calle Ciro Alegría|110
93|calle Comandante Juan G Moore|110
94|calle Comandante O'Donavan|110
95|calle Coronel Inclan|110
96|Calle de Cristobal Colón|110
97|Calle de Los Pinos|110
98|calle Diego Ferre|110
99|calle Elias Aguirre|110
100|Calle El Rosario|110
101|calle Enrique del Horme|110
102|calle Esperanza|110
103|Calle F|110
104|calle Federico Recavarren|110
105|Calle Felipe Barreda|110
106|calle Francia|110
107|calle Francisco de Castillo|110
108|Calle Franciso de Paula Ugarriza|110
109|calle Garcia Calderon|110
110|calle General Borgoño|110
111|calle General Suarez|110
112|calle Gonzáles Larrañaga|110
113|calle Gonzales Prada|110
114|Calle Grimaldo de Solar|110
115|calle Henry Revett|110
116|Calle Ignacio La Puente|110
117|calle Independencia|110
118|calle Italia|110
119|Calle Joaquín Capelo|110
120|Calle Jorge Buckley|110
121|Calle José de la Torre Ugarte|110
122|Calle José Félix Olcay|110
123|calle Jose Gabriel Chariarse|110
124|Calle José Gálvez|110
125|calle José Gonzales|110
126|Calle Juan Alfaro|110
127|Calle Juan de la Fuente|110
128|calle Juan Fanning|110
129|calle Julio Becerra|110
130|calle Libertad|110
131|calle Lino Alarco|110
132|calle Madrid|110
133|calle Manco Cápac|110
134|calle Manuel A. Segura|110
135|calle Manuel Bonilla|110
136|Calle Manuel Tovar|110
137|calle Martin Napanga|110
138|calle Narciso de la Colina|110
139|calle Ocharan|110
140|calle Piura|110
141|Calle Porta|110
142|Calle Ramón Rebeyro|110
143|Calle Retes|110
144|Calle Samuel Marquez|110
145|Calle San Fernando|110
146|calle San Ignacio de Loyola|110
147|Calle San Ignacio de Loyola|110
148|calle San Martín|110
149|calle Santa Isabel|110
150|Calle Schell|110
151|calle Tarapaca|110
152|Calle Tejada|110
153|Calle Teniente Enrique Palacios|110
154|Calle Toribio Pacheco|110
155|Calle Torre Tagle|110
156|calle Triana|110
157|calle Tripoli|110
158|Calle Tudela y Varela|110
159|calle Tupac Amaru|110
160|calle Vicealmirante Carbajal|110
161|calle Víctor Fajardo|110
162|calle Víctor Larco Herrera|110
163|Camino|110
164|Cap. A Gutierrez|110
165|Carlos Garcia Bedoya|110
166|Carlos Tenaud|110
167|Carlos Wiese|110
168|Carolinos|110
169|Carrion|110
170|Casimiro Ulloa|108
171|Castillo|110
172|Cesareo Chacaltana|110
173|Chumblongo|110
174|Cipriano Aguero|110
175|Circuito de Playas|106
176|Cmd. Schennone|110
177|Comandante Aristides Aljovin|110
178|Comandante Juan G Moore|110
179|Comandante Odonovan|110
180|Contralmirante Villar|110
181|Coronel Inclan|110
182|Costa Rica|110
183|Cotrina|110
184|Dalias|110
185|Daniel Alcides Carrion|110
186|De la aviacion|110
187|De la Cruz|110
188|Diagonal|108
189|Domingo Elias|110
190|Domingo Orue|124
191|Eduardo de Harbich|110
192|Eduardo la Torre|110
193|Ejercito|108
194|Elias Aguirre|110
195|Enrique del Campo|110
196|Enrique Meiggs|110
197|Ernesto DIez Canseco|110
198|Espejo|110
199|Federico Villareal|108
200|Fernandez|110
201|Figueredo|110
202|Fresas|110
203|Freyre|110
204|Garcia Rojas|110
205|Gastañeta|110
206|Genaro Castro Iglesias|110
207|General Borgoño|110
208|General Ernesto Montagne|108
209|General Iglesias|110
210|General Mendiburu|110
211|General Pershing|110
212|General Silva|110
213|General Vidal|110
214|Gerobolini|110
215|Gervasio Santillana|110
216|G. Escudero|110
217|Gladiolos|110
218|Gomez Sánchez|110
219|Gonzales|110
220|Gonzales Vigil|110
221|Guatemala|110
222|Guzman|110
223|Herrera|110
224|Honduras|110
225|Independencia|110
226|Jara|110
227|Jara y Ureta|110
228|Javier Heraud|110
229|J. Felix Olcay|110
230|Jirón Arica|110
231|Jirón Bernardo Alcedo|110
232|Jirón Bolognesi|110
233|Jirón General Borgoño|110
234|Jorge Guillermo Legula|110
235|Jose A. Lavalle|110
236|Jose Antonio Sarrio|110
237|José del Llano Zapata|110
238|Jose Domingo Choquehuanca|110
239|José Larco|108
240|José Olaya|110
241|Jose Payan|110
242|Jose Sabogal|110
243|JOSE SABOGAL|110
244|José Toríbio Polo|110
245|Juan Jose Calle|110
246|Juan Santos|110
247|Juli C.Tello|110
248|Junin|110
249|Laranaga|110
250|Las Fresas|110
251|Las Moras|110
252|Leguia|110
253|Leoncio Prado|110
254|Leonidas Avendanio|110
255|Leonidas Avendano|110
256|Lizardo Montero|110
257|Lola Pardo|110
258|Los Angeles|110
259|Los Capulies|110
260|Luis Arteaga Cruz|110
261|Malecon 28 de Julio|108
262|MALECON 28 DE JULIO|108
263|Malecón Balta|110
264|Malecon Cisneros|110
265|Malecón Cisneros|108
266|Malecón de la Marina|108
267|Malecon de la Reserva|108
268|Malecón de la Reserva|110
269|Malecon de los Franceses|108
270|Manuel Almenara|110
271|Manuel Augusto Olaechea|110
272|MANUEL DE FREYRE SANTANDER|110
273|Manuel Villaran|109
274|Mariano Melgar|110
275|Mariano Odicio|110
276|Martin Dulanto|110
277|Meliton Porras|110
278|Melonar|110
279|Mendiburu|110
280|Minchan|110
281|Miota|110
282|Neizer Llacsa Arce|110
283|Ocharan|110
284|Ortiz de Savallo|110
285|Ovalo de Miraflores|108
286|Óvalo Gutiérrez|108
287|Ovalo Los Cabitos|108
288|Pardo|110
289|Parque de las Naciones Unidas|110
290|Pasaje San Martín|110
291|Pasaje Sucre|110
292|Pasaje Tello|110
293|Paseo de la Republica|102
294|Paseo de la República|107
295|Paul Rivet|110
296|Pedro Venturo|110
297|Philips Cuba|110
298|Piacencia|110
299|Plaza Bolognesi|110
300|Plaza Centro América|108
301|Plaza Morales Barros|108
302|Prolongacion Arenales|110
303|Ps Paraiso|110
304|Qinones|110
305|Quebrada de Armendariz|107
306|Ramon Castilla|110
307|Ramón Castilla|110
308|Ramón Zavala|110
309|REDUCTO|110
310|Retiro|110
311|Rio de Janeiro|110
312|Roca y Bolona|108
313|Rodriguez|110
314|Roma|110
315|R Trujillo|110
316|Ruben Dario|110
317|RUBINI|110
318|Salaverry|110
319|Salvador Gutierrez|110
320|San Antonio|110
321|San Ignacio de Loyola|110
322|Santa Maria|110
323|Santander|110
324|Scipion Llona|110
325|Sevilla|110
326|Sido Yenuri Chihuala|110
327|Tacna|110
328|Teniente Enrique Palacios|110
329|Teruel|110
330|Torre Tagle|110
331|Vargas Machuca|110
332|Venecia|110
333|Vera Collahanzo|110
334|Victor Maldonado Begazo|110
335|Victor Oleachea|110
336|Villegas|110
337|Vinas|110
338|Wilson Cisneros Cabos|110
339|Xammar|110
340|Yirogoyen Diez Canseco|110
